please enter the velocity at which the projectile is launched (m/sec): 42

Angle 		 t 		 d
(deg) 		 (sec) 		 (m)
0.000000 	 0.000000 	 0.000000
0.087266 	 0.747049 	 31.256672
0.174533 	 1.488413 	 61.563626
0.261799 	 2.218449 	 90.000000
0.349066 	 2.931601 	 115.701770
0.436332 	 3.622442 	 137.888000
0.523599 	 4.285714 	 155.884573
0.610865 	 4.916369 	 169.144672
0.698132 	 5.509608 	 177.265396
0.785398 	 6.060915 	 180.000000
0.872665 	 6.566095 	 177.265396
0.959931 	 7.021303 	 169.144672
1.047198 	 7.423075 	 155.884573
1.134464 	 7.768352 	 137.888000
1.221730 	 8.054508 	 115.701770
1.308997 	 8.279364 	 90.000000
1.396263 	 8.441209 	 61.563626
1.483530 	 8.538812 	 31.256672
1.570796 	 8.571429 	 -0.000000
